Date,Open,High,Low,Close,Volume,Market Cap
2019-04-24,5571.51,5642.04,5418.26,5464.87,"17,048,033,399","96,530,038,144"
2019-04-23,5399.37,5633.8,5389.41,5572.36,"15,867,308,108","98,417,387,004"
2019-04-22,5312.49,5422.69,5280.28,5399.37,"14,601,631,648","95,354,207,776"
2019-04-21,5335.88,5359.93,5257.34,5314.53,"13,731,844,223","93,847,052,256"
2019-04-20,5304.16,5358.49,5295.88,5337.89,"13,169,647,522","94,248,717,444"
2019-04-19,5298.15,5336.68,5233.34,5303.81,"13,780,238,655","93,638,345,002"
2019-04-18,5251.48,5319.99,5250.51,5298.39,"13,256,489,918","93,532,402,741"
2019-04-17,5236.14,5274.28,5219.21,5251.94,"12,438,480,677","92,702,617,458"
2019-04-16,5066.58,5238.95,5055.19,5235.56,"11,618,660,197","92,404,613,297"
2019-04-15,5167.32,5196.61,5024.07,5067.11,"12,290,155,061","89,422,237,603"
2019-04-14,5095.76,5184.02,5053.57,5167.72,"10,391,952,498","91,188,595,341"
2019-04-13,5088.85,5127.12,5061.59,5096.59,"10,823,289,598","89,925,574,875"
2019-04-12,5061.2,5103.27,4955.85,5089.54,"13,675,206,312","89,792,633,045"
2019-04-11,5325.08,5354.23,5017.3,5064.49,"16,555,616,019","89,341,168,457"
2019-04-10,5204.11,5421.65,5193.38,5324.55,"15,504,590,933","93,918,439,274"
2019-04-09,5289.92,5289.92,5167.42,5204.96,"14,722,104,361","91,799,330,425"
2019-04-08,5199.84,5318.84,5148.21,5289.77,"17,154,113,634","93,286,365,973"
2019-04-07,5062.79,5235.19,5050.41,5198.9,"16,655,416,140","91,674,230,186"
2019-04-06,5036.79,5205.82,4992.22,5059.82,"16,929,795,194","89,212,733,450"
2019-04-05,4922.81,5053.51,4919.49,5036.68,"16,837,325,387","88,796,118,650"
2019-04-04,4971.31,5063.16,4836.79,4922.8,"18,251,810,240","86,778,727,821"
2019-04-03,4879.96,5307.0,4876.62,4973.02,"22,899,891,582","87,655,288,145"
2019-04-02,4156.92,4905.95,4155.32,4879.88,"21,315,047,816","85,986,009,273"
2019-04-01,4105.36,4164.95,4096.9,4158.18,"10,157,794,171","73,269,368,747"
2019-03-31,4105.46,4113.02,4094.1,4105.4,"9,045,122,443","72,339,379,036"
2019-03-30,4092.14,4296.81,4053.91,4106.66,"9,732,688,060","72,355,190,645"
2019-03-29,4068.3,4113.5,4034.1,4098.37,"10,918,665,557","72,202,088,875"
2019-03-28,4087.58,4094.9,4040.27,4069.11,"9,353,915,899","71,678,998,915"
2019-03-27,3984.24,4087.07,3977.81,4087.07,"10,897,131,934","71,987,847,571"
2019-03-26,3969.23,3985.08,3944.75,3985.08,"10,707,678,815","70,184,147,203"
2019-03-25,4024.11,4038.84,3934.03,3963.07,"10,359,818,883","69,789,872,373"
2019-03-24,4035.16,4040.7,4006.19,4022.17,"9,144,851,065","70,823,042,992"
2019-03-23,4022.71,4049.88,4015.96,4035.83,"9,578,850,549","71,056,017,910"
2019-03-22,4028.51,4053.91,4021.54,4023.97,"9,252,935,969","70,840,048,102"
2019-03-21,4083.95,4097.36,4005.15,4029.33,"10,831,212,662","70,926,226,882"
2019-03-20,4070.79,4089.46,4031.11,4087.48,"10,175,916,388","71,942,444,088"
2019-03-19,4032.69,4082.22,4023.81,4071.19,"9,344,919,956","71,647,703,828"
2019-03-18,4029.97,4071.56,4009.12,4032.51,"9,646,954,186","70,958,165,407"
2019-03-17,4047.72,4054.12,4006.41,4025.23,"8,221,625,400","70,821,939,585"
2019-03-16,3963.9,4077.04,3961.66,4048.73,"9,856,166,973","71,227,967,573"
2019-03-15,3926.66,3968.54,3914.02,3960.91,"9,394,210,605","69,675,002,377"
2019-03-14,3905.58,3946.5,3901.3,3924.37,"10,480,789,570","69,024,696,307"
2019-03-13,3913.05,3926.6,3891.9,3906.72,"9,469,184,841","68,706,700,381"
2019-03-12,3903.76,3926.89,3863.56,3909.16,"9,809,887,079","68,743,000,581"
2019-03-11,3953.74,3966.38,3889.24,3905.23,"10,125,901,903","68,666,928,025"
2019-03-10,3966.17,3966.17,3924.38,3951.6,"9,713,267,607","69,475,297,370"
2019-03-09,3894.55,3987.24,3892.39,3963.31,"10,796,103,518","69,674,508,655"
2019-03-08,3913.23,3950.43,3875.23,3901.13,"10,638,638,944","68,574,579,320"
2019-03-07,3903.38,3939.37,3894.11,3911.48,"9,584,165,519","68,749,421,311"
2019-03-06,3897.08,3919.51,3871.46,3903.94,"9,175,291,529","68,609,885,776"
2019-03-05,3759.83,3903.92,3745.18,3896.38,"10,174,126,415","68,470,655,400"
2019-03-04,3845.09,3867.38,3733.75,3761.56,"9,029,175,788","66,094,551,587"
2019-03-03,3862.27,3875.48,3836.91,3847.18,"7,253,558,152","67,592,376,373"
2019-03-02,3855.32,3874.61,3832.13,3864.42,"7,578,786,076","67,888,255,371"
2019-03-01,3853.76,3907.8,3851.69,3859.58,"7,661,247,975","67,796,965,743"
2019-02-28,3848.26,3906.06,3845.82,3854.79,"8,399,767,798","67,704,774,107"
2019-02-27,3857.48,3888.8,3787.06,3851.05,"8,301,309,684","67,631,949,500"
2019-02-26,3878.7,3891.58,3837.99,3854.36,"7,931,218,996","67,683,296,223"
2019-02-25,3807.0,3913.71,3807.0,3882.7,"9,318,796,067","68,173,204,651"
2019-02-24,4145.46,4210.64,3793.71,3810.43,"10,794,227,451","66,897,483,404"
2019-02-23,3998.92,4166.29,3968.73,4142.53,"8,922,258,316","72,720,867,208"
2019-02-22,3952.41,4006.54,3950.82,4005.53,"7,826,525,254","70,308,555,857"
2019-02-21,4000.26,4010.01,3940.11,3954.12,"7,775,128,102","69,398,333,876"
2019-02-20,3946.68,4000.49,3926.25,3999.82,"8,693,373,948","70,194,350,042"
2019-02-19,3911.66,4010.88,3908.15,3947.09,"9,933,626,655","69,262,673,238"
2019-02-18,3671.37,3936.67,3669.98,3915.71,"9,908,216,640","68,704,389,994"
2019-02-17,3633.36,3680.54,3619.18,3673.84,"7,039,512,503","64,453,368,779"
2019-02-16,3615.27,3652.84,3615.27,3629.79,"5,934,744,052","63,673,369,195"
2019-02-15,3617.37,3647.8,3608.21,3620.81,"6,091,952,231","63,509,111,125"
2019-02-14,3631.17,3646.26,3607.7,3616.88,"6,271,044,418","63,434,486,052"
2019-02-13,3653.6,3669.75,3617.25,3632.07,"6,438,903,823","63,694,394,519"
2019-02-12,3642.75,3668.59,3618.56,3653.53,"6,480,384,532","64,063,755,250"
2019-02-11,3695.61,3695.61,3642.29,3648.43,"6,277,056,434","63,968,390,250"
2019-02-10,3673.2,3695.04,3640.98,3690.19,"6,282,256,903","64,694,025,951"
