date,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th
2018-01-26,davos,trump,forum,bancorp,dollar,income,tax,share,quarter,switzerland
2018-01-10,principles,standards,trust,buffett,says,hathaway,warren,brief,trump,china
2018-01-24,davos,rupees,coverage,yuan,says,forum,share,profit,bit,tax
2018-01-21,shutdown,afrin,turkish,kurdish,reopen,turkey,pence,syria,democrats,points
2018-01-12,principles,standards,trust,trump,shithole,coverage,haiti,tax,says,percent
2018-01-23,davos,rupees,says,coverage,shutdown,netflix,solar,yuan,tax,bit
2018-01-02,hour,iran,protests,brief,seaplane,unrest,bitcoin,ago,demonstrations,korea
2018-01-31,yuan,profit,beijing,coverage,rupees,says,chinese,million,versus,percent
2018-01-17,bitcoin,coverage,bank,says,carillion,tax,corp,percent,asml,beijing
2018-01-29,yuan,chinese,coverage,beijing,keurig,rupees,says,profit,pepper,million
2018-01-05,intel,tuna,katayama,kalanick,marijuana,trump,jobs,fred,apple,brief
2018-01-18,coverage,tax,says,percent,apple,quinta,bank,china,trump,billion
2018-01-11,principles,standards,trust,bitcoin,says,coverage,nafta,china,chinese,yuan
2018-01-30,yuan,profit,chinese,coverage,says,bit,rupees,beijing,renminbi,million
2018-01-04,bannon,intel,trump,marijuana,brief,iran,hour,storm,snow,bitcoin
2018-01-15,rials,carillion,yuan,coverage,says,chinese,detroit,beijing,bit,china
2018-01-09,altice,brief,bitcoin,korea,says,oprah,corp,sales,north,percent
2018-01-03,bannon,intel,hour,moneygram,mifid,trump,ant,brief,scana,cramer
2018-01-28,navalny,federer,kamprad,cilic,ikea,niinisto,points,ingvar,alexei,slam
2018-01-19,shutdown,rupees,coverage,says,yuan,bit,chinese,percent,beijing,corp
2018-01-25,davos,forum,coverage,rupees,share,dollar,says,yuan,versus,income
2018-01-16,yuan,coverage,says,chinese,bit,percent,bank,bitcoin,beijing,corp
2018-01-22,shutdown,bioverativ,yuan,senate,says,coverage,sanofi,juno,chinese,government
2018-01-14,rials,hawaii,redmayne,missile,hawaiians,mudslides,ballistic,sidon,alert,points
2018-01-08,gopro,coverage,videoid,videochannel,preliminary,sales,says,revenue,globes,china
2018-01-07,sutherland,meng,idlib,jackpot,bannon,princes,merkel,insidious,powerball,saudi
2018-01-27,alwaleed,bombardier,cramer,wozniacki,cseries,prince,saudi,halep,misconduct,syrian
2018-01-06,cramer,wolff,videochannel,videoid,toyoda,powerball,trump,letterman,ostend,jackpots
2018-01-13,cramer,trump,nuclear,sanctions,iran,facebook,rosengren,south,carillion,dudash
