word,value
davos,132.99999999999818
trump,1897.87528174603227
forum,-33.35000000000066
bancorp,5.85799999999972
dollar,-43.970000000000255
income,-145.24267460317435
tax,1880.52956349206372
share,127.44841269841547
quarter,72.44291269841317
switzerland,-8.460000000000036
buffett,-682.9785714285738
hathaway,71.84916666666626
warren,81.28309523809497
brief,306.2029166666663
china,-2106.3467619047624
rupees,1485.9083333333315
yuan,-1172.816642857143
profit,-92.16659126984106
bit,-897.2047182539688
shutdown,-585.4200000000008
afrin,-333.8000000000002
turkish,-429.7000000000001
kurdish,-197.97500000000008
reopen,-257.82000000000005
turkey,-214.85000000000005
pence,-184.1571428571429
syria,1448.5641190476191
democrats,271.0999999999999
points,-383.3494285714284
shithole,105.34000000000015
haiti,75.24285714285725
percent,-323.6840833333334
netflix,-36.907619047619065
solar,-10.871428571428623
hour,1171.9712698412698
iran,762.8201785714294
protests,452.3666666666668
seaplane,271.4200000000001
unrest,226.1833333333334
bitcoin,-1875.6785714285722
ago,169.63750000000005
demonstrations,150.78888888888892
korea,-13.259500000000262
beijing,-2702.3117499999997
chinese,-2346.0307500000008
million,148.68215873015907
versus,268.2731111111098
bank,-398.3821904761906
carillion,23.061111111111238
corp,-654.9596428571431
asml,-26.944444444444443
keurig,-91.82000000000008
pepper,-51.01111111111115
intel,2147.184999999999
tuna,976.1499999999997
katayama,650.7666666666665
kalanick,488.0749999999999
marijuana,472.5849999999999
jobs,278.8999999999999
fred,244.03749999999994
apple,218.48319444444448
quinta,46.01666666666674
billion,-3.543000000000017
nafta,-223.20000000000022
renminbi,-133.38888888888889
bannon,341.3599999999991
storm,41.0625
snow,36.5
rials,717.3500000000013
detroit,7.5
altice,-528.3000000000011
oprah,-88.05000000000018
sales,-283.72083333333353
north,-66.5393650793651
moneygram,55.69999999999982
mifid,44.55999999999985
ant,31.828571428571326
scana,24.755555555555475
cramer,801.0840992063519
navalny,389.9349999999995
federer,155.5
kamprad,103.66666666666667
cilic,77.75
ikea,62.2
niinisto,51.833333333333336
ingvar,38.875
alexei,34.55555555555556
slam,31.1
bioverativ,-350.85000000000036
senate,73.17499999999981
sanofi,-100.24285714285725
juno,-87.71250000000009
government,107.40142857142851
hawaii,-394.65499999999975
redmayne,-199.59999999999977
missile,-149.69999999999982
hawaiians,-119.75999999999985
mudslides,-99.79999999999988
ballistic,-85.54285714285705
sidon,-74.84999999999991
alert,-66.53333333333325
gopro,-1306.1000000000004
videoid,-419.1416666666664
videochannel,-304.89166666666625
preliminary,-261.2200000000001
revenue,313.96632539682673
globes,-145.12222222222226
sutherland,-1049.7000000000007
meng,-524.8500000000004
idlib,-349.90000000000026
jackpot,-254.32000000000016
princes,-174.95000000000013
merkel,-146.1571428571428
insidious,-131.2125000000001
powerball,-105.8166666666665
saudi,-25.027142857142877
alwaleed,265.8000000000011
bombardier,132.90000000000055
wozniacki,66.45000000000027
cseries,53.16000000000022
prince,117.5490000000001
halep,33.225000000000136
misconduct,29.533333333333456
syrian,124.22726190476217
wolff,32.45000000000073
toyoda,12.980000000000292
letterman,8.112500000000182
ostend,7.211111111111273
jackpots,6.490000000000146
nuclear,96.06916666666652
sanctions,101.95000000000029
facebook,325.1994285714267
rosengren,58.25714285714302
south,41.15700000000011
dudash,40.780000000000115
schumer,621.5
bill,156.03236111111121
cousins,-455.0
liverpool,-226.88599999999997
fireworks,-151.66666666666666
killed,-103.39599999999992
brisbane,-91.0
costa,-75.83333333333333
kologi,-65.0
jedi,-56.875
compass,-50.55555555555556
rica,-45.5
eur,-530.8310198412715
qtrly,-351.34549603174304
dividend,-102.08481746031711
baht,1059.1992063492055
loss,102.7496507936512
amtrak,-898.6900000000005
train,-449.34500000000025
macedonia,-299.5633333333335
bowl,-342.96839285714316
game,-198.39766666666662
greeks,-128.3842857142858
super,-112.33625000000006
scored,-99.8544444444445
collided,-89.86900000000006
walmart,42.97500000000037
bangalore,24.55714285714307
olympic,183.72900000000004
olympics,300.5350000000003
munich,301.7333333333336
indictment,181.04000000000013
ledecka,150.8666666666668
oaxaca,129.31428571428583
narration,53.69866666666714
florida,100.57777777777785
bronze,27.00888888888892
dirhams,-27.57583333333298
broadcom,-884.303666666667
qualcomm,-126.15194444444444
eagles,-131.52700000000004
powell,152.7638888888892
prelim,33.170000000000066
memo,206.67416666666549
pcl,156.65944444444457
mln,23.230793650793416
hk,-1709.9027777777778
hy,36.361111111110816
tronc,-14.909999999999956
riyals,-1039.5924999999993
carnival,-121.53999999999971
skating,-69.45142857142841
saratov,-54.017777777777646
volatility,234.08333333333334
davis,161.39499999999953
cup,107.59666666666635
winchester,64.55799999999981
huntsman,53.798333333333176
fargo,40.34874999999988
mirren,35.86555555555545
fbi,-170.23599999999996
nra,-237.3150000000005
medal,-348.7433333333338
dropbox,-308.56999999999925
sergeeva,-67.80428571428585
geely,-59.32875000000013
tusk,-52.73666666666678
galmarini,-47.4630000000001
israeli,-32.726666666666766
korean,28.652916666666602
athletes,-32.805000000000106
